mass (kg),autocorrelation,suitable habitat,run,ind,step length,divergence,x-position
0.001,0,0.2,1,66,0.6269816928641947,2.423331124694194,96.6555833469407
0.001,0,0.2,1,67,0.6269816928641947,2.423331124694194,78.23123773341455
0.001,0,0.2,1,68,0.6269816928641947,2.423331124694194,80.07542931975134
0.001,0,0.2,1,69,0.6269816928641947,2.423331124694194,86.76897208431456
0.001,0,0.2,1,70,0.6269816928641947,2.423331124694194,80.18377058219222
0.001,0,0.2,1,71,0.6269816928641947,2.423331124694194,87.75350116434109
0.001,0,0.2,1,72,0.6269816928641947,2.423331124694194,93.39834956211556
0.001,0,0.2,1,73,0.6269816928641947,2.423331124694194,88.29169352082565
0.001,0,0.2,1,74,0.6269816928641947,2.423331124694194,75.35902687423582
0.001,0,0.2,1,75,0.6269816928641947,2.423331124694194,82.5334726667027
0.001,0,0.2,1,76,0.6269816928641947,2.423331124694194,88.06018997302829
0.001,0,0.2,1,77,0.6269816928641947,2.423331124694194,76.64469089656819
0.001,0,0.2,1,78,0.6269816928641947,2.423331124694194,70.44206327381882
0.001,0,0.2,1,79,0.6269816928641947,2.423331124694194,77.6913959770567
0.001,0,0.2,1,80,0.6269816928641947,2.423331124694194,100.79190343978686
0.001,0,0.2,1,81,0.6269816928641947,2.423331124694194,116.76689153483066
0.001,0,0.2,1,82,0.6269816928641947,2.423331124694194,79.41651299154326
0.001,0,0.2,1,83,0.6269816928641947,2.423331124694194,65.0974315463506
0.001,0,0.2,1,84,0.6269816928641947,2.423331124694194,102.90198722364383
0.001,0,0.2,1,85,0.6269816928641947,2.423331124694194,86.76897208431456
0.001,0,0.2,3,1,0.2855111742313021,2.65534778149393,75.93039483214415
0.001,0,0.2,3,2,0.2855111742313021,2.65534778149393,54.46422886849918
0.001,0,0.2,3,3,0.2855111742313021,2.65534778149393,64.31319587895746
0.001,0,0.2,3,4,0.2855111742313021,2.65534778149393,73.37662755832102
0.001,0,0.2,3,5,0.2855111742313021,2.65534778149393,74.66625204251969
0.001,0,0.2,3,6,0.2855111742313021,2.65534778149393,53.52810506282264
0.001,0,0.2,3,7,0.2855111742313021,2.65534778149393,53.489518181589396
0.001,0,0.2,3,8,0.2855111742313021,2.65534778149393,83.93560945709697
0.001,0,0.2,3,9,0.2855111742313021,2.65534778149393,53.452672803161335
0.001,0,0.2,3,10,0.5354057675090063,2.65534778149393,105.01971233491179
0.001,0,0.2,3,11,0.2855111742313021,2.65534778149393,67.67898489475331
0.001,0,0.2,3,12,0.2855111742313021,2.65534778149393,73.70591870683734
0.001,0,0.2,3,13,0.2855111742313021,2.65534778149393,59.98808001031577
0.001,0,0.2,3,14,0.2855111742313021,2.65534778149393,64.06414893130636
0.001,0,0.2,3,15,0.2855111742313021,2.65534778149393,63.60796093269535
0.001,0,0.2,3,16,0.2855111742313021,2.65534778149393,64.2232537902418
0.001,0,0.2,3,17,0.2855111742313021,2.65534778149393,69.33041309268243
0.001,0,0.2,3,18,0.2855111742313021,2.65534778149393,59.61437358107541
0.001,0,0.2,3,19,7.025224283807684,2.65534778149393,47.30126959904004
0.001,0,0.2,3,20,0.2855111742313021,2.65534778149393,82.15746818936871
0.001,0,0.2,3,21,0.2855111742313021,2.65534778149393,61.006664839364035
0.001,0,0.2,3,22,0.2855111742313021,2.850413843411438,76.70428983541058
0.001,0,0.2,3,23,0.2855111742313021,2.65534778149393,69.44432476129516
0.001,0,0.2,3,24,0.2855111742313021,2.65534778149393,56.88734677565284
0.001,0,0.2,3,25,0.2855111742313021,2.65534778149393,49.54627408331598
0.001,0,0.2,3,26,0.2855111742313021,2.65534778149393,59.38946201635889
0.001,0,0.2,3,27,0.2855111742313021,2.65534778149393,74.37422078487856
0.001,0,0.2,3,28,0.2855111742313021,2.65534778149393,53.901861883613925
0.001,0,0.2,3,29,0.2855111742313021,2.65534778149393,59.61903132986142
0.001,0,0.2,3,30,0.2855111742313021,2.65534778149393,42.68167823025932
0.001,0,0.2,3,31,0.2855111742313021,2.65534778149393,81.34928430224421
0.001,0,0.2,3,32,0.2855111742313021,2.65534778149393,87.70370543456872
0.001,0,0.2,3,33,0.2855111742313021,2.65534778149393,60.214106938799794
0.001,0,0.2,3,34,0.2855111742313021,2.65534778149393,70.30150490752519
0.001,0,0.2,3,35,0.2855111742313021,2.65534778149393,61.48178158813887
0.001,0,0.2,3,36,0.2855111742313021,2.65534778149393,62.43603993662373
0.001,0,0.2,3,37,0.5354057675090063,2.65534778149393,111.68894439871202
0.001,0,0.2,3,38,0.2855111742313021,2.65534778149393,70.28981668919421
0.001,0,0.2,3,39,0.2855111742313021,2.65534778149393,47.1527709205874
0.001,0,0.2,3,40,0.2855111742313021,2.65534778149393,40.022131268185184
0.001,0,0.2,3,41,0.2855111742313021,2.65534778149393,59.277405921125016
0.001,0,0.2,3,42,0.2855111742313021,2.65534778149393,75.29905243275425
0.001,0,0.2,3,43,0.5354057675090063,2.65534778149393,113.27478531992654
0.001,0,0.2,5,1,0.8280426478461012,2.3118967068484166,56.97333644911803
0.001,0,0.2,5,2,0.8280426478461012,2.3118967068484166,72.15319380710636
0.001,0,0.2,5,3,0.8280426478461012,2.3118967068484166,75.4313351964922
0.001,0,0.2,5,4,0.8280426478461012,2.3118967068484166,60.954127911816045
0.001,0,0.2,5,5,0.8280426478461012,2.3118967068484166,79.6289074202891
0.001,0,0.2,5,6,0.8280426478461012,2.3118967068484166,42.037051929324406
0.001,0,0.2,5,7,0.8280426478461012,2.3118967068484166,77.13834767610385
0.001,0,0.2,5,8,0.8280426478461012,2.3118967068484166,67.60426010492469
0.001,0,0.2,5,9,0.8280426478461012,2.3118967068484166,43.12019541232258
0.001,0,0.2,5,10,0.8280426478461012,2.3118967068484166,60.922212565289485
0.001,0,0.2,5,11,0.8280426478461012,2.3118967068484166,70.51872239635527
0.001,0,0.2,5,12,0.8280426478461012,2.3118967068484166,54.901455922070554
0.001,0,0.2,5,13,0.8280426478461012,2.3118967068484166,79.35773062813779
0.001,0,0.2,5,14,0.8280426478461012,2.3118967068484166,55.796814204961755
0.001,0,0.2,5,15,0.8280426478461012,2.3118967068484166,84.66753368434492
0.001,0,0.2,5,16,0.8280426478461012,2.3118967068484166,58.70425093724408
0.001,0,0.2,5,17,0.8280426478461012,2.3118967068484166,60.09128943361256
0.001,0,0.2,5,18,0.8280426478461012,2.3118967068484166,61.3273961230576
0.001,0,0.2,5,19,0.8280426478461012,2.3118967068484166,52.962826886718794
0.001,0,0.2,5,20,0.8280426478461012,2.3118967068484166,86.37163140685097
0.001,0,0.2,5,21,0.8280426478461012,2.3118967068484166,66.37077628318102
0.001,0,0.2,5,22,0.8280426478461012,2.3118967068484166,60.145120022244946
0.001,0,0.2,5,23,0.8280426478461012,2.3118967068484166,64.46156344748573
0.001,0,0.2,5,24,0.8280426478461012,2.3118967068484166,110.17486521635816
0.001,0,0.2,5,25,0.8280426478461012,2.3118967068484166,106.72673913345119
0.001,0,0.2,5,26,1.5957998186699607,2.3118967068484166,55.106833195271605
0.001,0,0.2,5,27,0.8280426478461012,2.3118967068484166,69.26255843513573
0.001,0,0.2,5,28,0.8280426478461012,2.3118967068484166,55.750409331698584
0.001,0,0.2,5,29,0.8280426478461012,2.3118967068484166,55.61966904309867
0.001,0,0.2,5,30,0.8280426478461012,2.3118967068484166,42.53386874039662
0.001,0,0.2,5,31,0.8280426478461012,2.3118967068484166,76.4089784845814
0.001,0,0.2,5,32,0.8280426478461012,2.3118967068484166,54.74288154446377
0.001,0,0.2,5,33,1.2599190166438679,2.3118967068484166,81.2201845754934
0.001,0,0.2,5,34,0.8280426478461012,2.3118967068484166,52.90459954978032
0.001,0,0.2,5,35,0.8280426478461012,2.3118967068484166,75.10254652490869
0.001,0,0.2,5,36,0.8280426478461012,2.3118967068484166,70.91416330238071
0.001,0,0.2,6,1,0.5273123250174883,2.6328112649760262,73.78676149178877
0.001,0,0.2,6,2,0.5273123250174883,2.6328112649760262,45.2520965359743
0.001,0,0.2,6,3,0.5273123250174883,2.6328112649760262,53.408170293634846
0.001,0,0.2,6,4,0.5273123250174883,2.6328112649760262,65.96131319990451
0.001,0,0.2,6,5,0.5273123250174883,2.6328112649760262,62.312075573441106
0.001,0,0.2,6,6,0.5273123250174883,2.6328112649760262,80.645828126114
0.001,0,0.2,6,7,0.5273123250174883,2.6328112649760262,69.17314179745591
0.001,0,0.2,6,8,0.5273123250174883,2.6328112649760262,86.13040099661512
0.001,0,0.2,6,9,0.5273123250174883,2.6328112649760262,80.02737150690581
0.001,0,0.2,6,10,0.5273123250174883,2.6328112649760262,81.92265139420883
0.001,0,0.2,6,11,0.5273123250174883,2.6328112649760262,73.76581372677096
0.001,0,0.2,6,12,0.5273123250174883,2.6328112649760262,50.10901926845677
0.001,0,0.2,6,13,0.5273123250174883,2.6328112649760262,102.4706534556371
0.001,0,0.2,6,14,0.5273123250174883,2.6328112649760262,57.57988957345243
0.001,0,0.2,6,15,0.5273123250174883,2.6328112649760262,74.85613498369082
0.001,0,0.2,6,16,0.5273123250174883,2.6328112649760262,50.30212452697416
0.001,0,0.2,6,17,0.5273123250174883,2.6328112649760262,58.543293960294264
0.001,0,0.2,6,18,0.5273123250174883,2.6328112649760262,75.60641282696993
0.001,0,0.2,6,19,0.5273123250174883,2.6328112649760262,84.88387672182995
0.001,0,0.2,6,20,0.5273123250174883,2.6328112649760262,76.1837972973586
0.001,0,0.2,6,21,0.5273123250174883,2.6328112649760262,53.44086930942378
0.001,0,0.2,6,22,0.5273123250174883,2.6328112649760262,86.14532293984463
0.001,0,0.2,6,23,0.5273123250174883,2.6328112649760262,67.19456896154152
0.001,0,0.2,6,24,0.5273123250174883,2.6328112649760262,42.604539666231034
0.001,0,0.2,6,25,0.5273123250174883,2.6328112649760262,88.27801949002091
0.001,0,0.2,6,26,0.5273123250174883,2.6328112649760262,52.35178660861145
